gene	allele	threshold
IGLV25-JH2N	IGLV25-JH2N*01	0.001
IGLV24-OL3F	IGLV24-OL3F*01	0.001
IGLV24-OL3F	IGLV24-OL3F*02	0.001
IGLV13-4CAZ	IGLV13-4CAZ*02	0.001
IGLV13-RM6H	IGLV13-RM6H*02	0.001
IGLV18-LFXG	IGLV18-LFXG*03	0.001
IGLV2-UWKA	IGLV2-UWKA*14	0.001
IGLV20-CWPJ	IGLV20-CWPJ*03	0.001
IGLV20-LHAH	IGLV20-LHAH*05	0.001
IGLV2-4DY7	IGLV2-4DY7*01	0.001
IGLV33-GBBF	IGLV33-GBBF*01	0.001
IGLV1-24UP	IGLV1-24UP*01	0.001
IGLV13-V3WL	IGLV13-V3WL*04	0.001
IGLV18-HTIG	IGLV18-HTIG*04	0.001
IGLV19-PCOE	IGLV19-PCOE*01	0.001
IGLV2-UE2U	IGLV2-UE2U*27	0.03
IGLV13-V3WL	IGLV13-V3WL*03	0.001
IGLV24-7UWK	IGLV24-7UWK*05	0.001
IGLV13-TZW3	IGLV13-TZW3*02	0.001
IGLV18-HTIG	IGLV18-HTIG*02	0.001
IGLV24-7UWK	IGLV24-7UWK*07	0.001
IGLV25-N5HP	IGLV25-N5HP*01	0.001
IGLV1-24UP	IGLV1-24UP*02	0.001
IGLV6-43U5	IGLV6-43U5*08	0.001
IGLV6-T6U4	IGLV6-T6U4*03	0.001
IGLV7-YFQ2	IGLV7-YFQ2*06	0.001
IGLV7-ZQKQ	IGLV7-ZQKQ*01	0.001
IGLV13-TZW3	IGLV13-TZW3*03	0.001
IGLV18-7DQE	IGLV18-7DQE*04	0.001
IGLV6-43U5	IGLV6-43U5*07	0.001
IGLV1-SCAH	IGLV1-SCAH*01	0.001
IGLV31-D2KF	IGLV31-D2KF*01	0.001
IGLV7-V4Q3	IGLV7-V4Q3*04	0.001
IGLV1-UABS	IGLV1-UABS*04	0.001
IGLV1-UABS	IGLV1-UABS*05	0.001
IGLV1-WZN2	IGLV1-WZN2*02	0.001
IGLV1-YE7M	IGLV1-YE7M*01	0.001
